ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[NODE_ADDED],span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[3]/div[2]/div[2]/span[1],,,,,,,,,
[PROP_CHANGED],,,class,<pic>,div,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[2]/div[1],<pic hot>,div,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[2]/div[1],,
[PROP_CHANGED],,,class,<time>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[3],<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[4],,
[PROP_CHANGED],,,class,<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[2],<month>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[3],,
[PROP_CHANGED],,,class,<month>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[1],<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[2],,
[NODE_REMOVED],,,,,,,,,,li,/html/body/div[6]/div[1]/div[1]/div[2]/div[5]/ul[1]/li[5]
[NODE_ADDED],span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[2]/div[2]/span[1],,,,,,,,,
[PROP_CHANGED],,,class,<pic>,div,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[1],<pic hot>,div,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[2]/div[2]/ul[1]/li[1]/div[1],,
[PROP_CHANGED],,,class,<time>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[3],<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[4],,
[PROP_CHANGED],,,class,<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[2],<month>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[3],,
[PROP_CHANGED],,,class,<month>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[1],<day>,span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[2],,
[NODE_ADDED],span,/html/body/div[6]/div[1]/div[1]/div[1]/div[5]/div[1]/div[2]/ul[1]/li[6]/div[2]/div[2]/span[1],,,,,,,,,
